episode,global_step,epsilon,scalar_return,loss,mse,ssim,k,cost,actions
1993,7610,0.050000000000000044,0.2005401849746704,0.00011645436461549252,0.003257201984524727,0.7500508179695442,1,0.06666666666666667,0 15
1994,7614,0.050000000000000044,0.3896527588367462,0.0001316484558628872,0.0010423341300338507,0.864349031012492,3,0.2,0 3 5 15
1995,7619,0.050000000000000044,0.37986600399017334,0.00012531241081887857,0.0009730311576277018,0.8783830321536762,4,0.26666666666666666,0 3 13 4 15
1996,7622,0.050000000000000044,0.36111053824424744,0.00016002238165431967,0.0012633050791919231,0.8496718145242486,2,0.13333333333333333,0 12 15
1997,7626,0.050000000000000044,0.34608691930770874,0.00015163061834755354,0.0012536486610770226,0.8699198037421377,3,0.2,0 13 5 15
1998,7630,0.050000000000000044,0.29288196563720703,0.00016265910016954876,0.0014361678622663021,0.8861940225030381,3,0.2,0 2 13 15
1999,7633,0.050000000000000044,0.36495912075042725,0.00011380938667571172,0.0016776652773842216,0.8677113180477327,2,0.13333333333333333,0 12 15
2000,7638,0.050000000000000044,0.3476627469062805,0.00011920476099476218,0.000613113516010344,0.9248851198574592,4,0.26666666666666666,0 12 11 10 15
2001,7640,0.050000000000000044,0.2005401849746704,0.00013879438483854756,0.003257201984524727,0.7500508179695442,1,0.06666666666666667,0 15
2002,7644,0.050000000000000044,0.36765387654304504,0.00011710869148373604,0.0011744789080694318,0.8647727199811289,3,0.2,0 2 3 15
2003,7646,0.050000000000000044,0.2642996311187744,0.00012862854782724753,0.003218446159735322,0.7966522244934776,1,0.06666666666666667,0 15
2004,7648,0.050000000000000044,0.12251240015029907,0.0001732562086544931,0.0032903882674872875,0.761178596687975,1,0.06666666666666667,0 15
2005,7650,0.050000000000000044,0.16447439789772034,0.00017933159688254818,0.006094321608543396,0.700758538072415,1,0.06666666666666667,0 15
2006,7652,0.050000000000000044,0.30348581075668335,0.00013802734611090273,0.0027194975409656763,0.7972285267824969,1,0.06666666666666667,0 15
2007,7656,0.050000000000000044,0.3472752273082733,0.00016173054245882668,0.0014374107122421265,0.9049475556959296,3,0.2,0 12 11 15
2008,7658,0.050000000000000044,0.1823476254940033,0.00013915042654844,0.004247801844030619,0.6964328202865265,1,0.06666666666666667,0 15
2009,7660,0.050000000000000044,0.23669050633907318,0.0001221436759806238,0.0034648894798010588,0.7995885665950395,1,0.06666666666666667,0 15
2010,7662,0.050000000000000044,0.1831447035074234,0.00014777817705180496,0.003824138082563877,0.7307142555142235,1,0.06666666666666667,0 15
2011,7664,0.050000000000000044,0.1344224512577057,0.0001482943189330399,0.003237640717998147,0.7251322270458505,1,0.06666666666666667,0 15
2012,7666,0.050000000000000044,0.15564492344856262,0.00017432594177080318,0.0013349374057725072,0.790675773986313,1,0.06666666666666667,0 15
2013,7669,0.050000000000000044,0.1786513477563858,0.00012796982142996663,0.0019894838333129883,0.839338971118085,2,0.13333333333333333,0 3 15
